"year","Track URI","Track Name","Album Name","Artist Name(s)","Release Date","Duration (ms)","Popularity","Explicit","Added By","Added At","Genres","Record Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Track Name Unique"
"2022","spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Tití Me Preguntó_2022","Un Verano Sin Ti","Bad Bunny","2022-05-06",243716,95,TRUE,NA,1970-01-01,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4,"Tití Me Preguntó_2022"
"2022","spotify:track:6LNoArVBBVZzUTUiAX2aKO","Off The Grid","Donda","Kanye West","2021-08-29",339249,67,FALSE,NA,1970-01-01,"rap","Rock The World/IDJ/Kanye LP7",0.546,0.64,8,-5.582,1,0.37,0.0438,0,0.137,0.63,137.728,4,"Off The Grid"
"2022","spotify:track:6nqdgUTiWt4JbABDurkxMI","Sahara","Sahara","Hensonn","2021-11-16",171384,65,TRUE,NA,1970-01-01,"phonk,drift phonk","Hensonn",0.615,0.521,2,-9.488,1,0.0318,0.146,0.772,0.11,0.045,115.016,4,"Sahara"
"2022","spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK","Bad Habit","Bad Habit","Steve Lacy","2022-06-29",232114,73,TRUE,NA,1970-01-01,NA,"L-M Records/RCA Records",0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,4,"Bad Habit"
"2022","spotify:track:48AJSd42lXpicsGqcgopof","X ÚLTIMA VEZ","LEGENDADDY","Daddy Yankee;Bad Bunny","2022-03-25",192477,69,TRUE,NA,1970-01-01,"reggaeton,latin,trap latino,urbano latino","Republic Records",0.812,0.855,7,-3.725,1,0.0554,0.0789,0.000167,0.108,0.573,90.04,4,"X ÚLTIMA VEZ"
"2022","spotify:track:3IcZbuv0ydGXMfdJeo6iqr","Demasiadas Mujeres","El Madrileño (La Sobremesa)","C. Tangana","2022-02-18",153960,44,FALSE,NA,1970-01-01,NA,"Sony Music Entertainment",0.667,0.43,9,-8.824,0,0.397,0.127,0.000262,0.0853,0.377,126.027,4,"Demasiadas Mujeres"
"2022","spotify:track:7afBX5p6Qw5RPfpedhEMWS","4am","4am","JBEE","2021-10-01",193714,63,TRUE,NA,1970-01-01,"uk drill,drill","10K Projects",0.863,0.482,1,-9.132,1,0.439,0.621,0,0.148,0.618,140.021,4,"4am"
"2022","spotify:track:1PCvKFPWnTXAe2oaReVUcr","We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)","Globalization","Pitbull;Jennifer Lopez;Claudia Leitte","2014-11-24",222559,76,FALSE,NA,1970-01-01,"axé,brazilian pop","Mr.305/Polo Grounds Music/RCA Records",0.592,0.935,6,-4.317,0,0.0581,0.00879,0.0154,0.132,0.567,125.013,4,"We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)"
"2022","spotify:track:1797zYiX4cKosMH836X9Gt","La Corriente","Un Verano Sin Ti","Bad Bunny;Tony Dize","2022-05-06",198367,78,TRUE,NA,1970-01-01,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.663,0.786,11,-3.51,0,0.195,0.229,0,0.219,0.579,196.12,4,"La Corriente"
"2022","spotify:track:05IbhAKODbXn8og9uaUgpc","Permanence","Permanence","David Guetta;MORTEN","2022-01-07",231290,48,FALSE,NA,1970-01-01,"edm","Musical Freedom",0.32,0.799,2,-10.464,1,0.389,0.0564,0.584,0.31,0.032,165.492,3,"Permanence"
